jsonstat,.,|
label,"Population by province of residence, place of birth, age, gender and year in Galicia"
source,INE and IGE
updated,2012-12-27T12:25:09Z
href,https://json-stat.org/samples/galicia.json
dimension,birth,place of birth,6,T,total,C,county of residence,P,another county in the same province,G,another province of Galicia,A,in another autonomous community,F,abroad,geo
dimension,age,age group,22,T,total,0,0-4,5,5-9,10,10-14,15,15-19,20,20-24,25,25-29,30,30-34,35,35-39,40,40-44,45,45-49,50,50-54,55,55-59,60,60-64,65,65-69,70,70-74,75,75-79,80,80-84,85,85-89,90,90-94,95,95-99,100,100+
dimension,gender,gender,3,T,total,M,male,F,female
dimension,time,year,2,2001,2001,2011,2011,time
dimension,residence,province of residence,5,T,total,15,A Coruña,27,Lugo,32,Ourense,36,Pontevedra,geo
dimension,concept,concept,1,pop,population,metric,0|persons
data
birth,age,gender,time,residence,concept,value
T,85,F,2011,T,pop,41336
T,85,F,2011,15,pop,15483
T,85,F,2011,27,pop,7239
T,85,F,2011,32,pop,6848
T,85,F,2011,36,pop,11767
T,90,T,2001,T,pop,15294
T,90,T,2001,15,pop,5455
T,90,T,2001,27,pop,2970
T,90,T,2001,32,pop,2918
T,90,T,2001,36,pop,3951
T,90,T,2011,T,pop,25493
T,90,T,2011,15,pop,9387
T,90,T,2011,27,pop,4781
T,90,T,2011,32,pop,4477
T,90,T,2011,36,pop,6848
T,90,M,2001,T,pop,4786
T,90,M,2001,15,pop,1609
T,90,M,2001,27,pop,1160
T,90,M,2001,32,pop,984
T,90,M,2001,36,pop,1033
T,90,M,2011,T,pop,7191
T,90,M,2011,15,pop,2479
T,90,M,2011,27,pop,1564
T,90,M,2011,32,pop,1390
T,90,M,2011,36,pop,1758
T,90,F,2001,T,pop,12325
T,90,F,2001,15,pop,4523
T,90,F,2001,27,pop,2150
T,90,F,2001,32,pop,2266
T,90,F,2001,36,pop,3386
T,90,F,2011,T,pop,18302
T,90,F,2011,15,pop,6908
T,90,F,2011,27,pop,3218
T,90,F,2011,32,pop,3087
T,90,F,2011,36,pop,5089
T,95,T,2001,T,pop,3718
T,95,T,2001,15,pop,1396
T,95,T,2001,27,pop,693
T,95,T,2001,32,pop,705
T,95,T,2001,36,pop,924
T,95,T,2011,T,pop,6715
T,95,T,2011,15,pop,2328
T,95,T,2011,27,pop,1277
T,95,T,2011,32,pop,1276
T,95,T,2011,36,pop,1833
T,95,M,2001,T,pop,887
T,95,M,2001,15,pop,290
